Keynote Address,,Why is Top Management Difficult to Convince?,1968,John E. Snyder
Statistical Considerations,,Estimating Reliability in Simulation Experiments,1968,George S. Fishman
Statistical Considerations,,The Use of Experimental Design Techniques in Simulation,1968,A.L. Frank
Statistical Considerations,,Stopping Rules for Queueing Simulations: Non Independent Tours,1968,Irwin W. Kabak
Statistical Considerations,,A Brief Survey of Stopping Rules in Monte Carlo Simulations,1968,Michael J. Gilman
Statistical Considerations,,The GPS/360 Random Number Generator,1968,Harry Felder
New Language Developments,,Some Features of the SIMULA 67 Language,1968,Johan Dahl, Bjorn Myhrhaug,Kristen Nygaard
New Language Developments,,Introduction to the SIMSCRIPT II Programming Language,1968,Philip J. Kiviat
New Language Developments,,SPURT - A Simulation Package for University Research and Teaching,1968,Martin Goldberg,Benjamin Mittman
Simulation Tutorial,,Technical Note for SIMSCRIPT Users,1968,W.V. Neisius, E.D. Katz,D.B. Townsend
Corporate and Financial Models,,A Financial Simulation of a Proposed Computer Leasing Company,1968,A.M. Economos
Corporate and Financial Models,,Simulating the Financial Effects of Major Corporate Policy Changes Via a Discrete State System Model,1968,B. Linn Soule
Corporate and Financial Models,,Production Programming by Reverse Curve Analysis,1968,A.G. Beged Dov, C.D. Carmichael, S.T. Ferguson, I.E. Mitchell,W.H. Struble
Corporate and Financial Models,,The Development of a State-Space Model of a Firm,1968,R.V. Elicano
Corporate and Financial Models,,Development and Application of a Simple Product Development and Marketing Strategy Model,1968,A.J. Lipinski, D.W. Ross,D.M. Salmon
Transportation Models,,Simulation of a Railed Automated Highway,1968,Donald Ingerman
Transportation Models,,SIGN - Simulation to Investigate Generalized Networks,1968,Isadore L. Goldhirsh
Transportation Models,,The CN Network Model,1968,R.D. Jones, D.C. Lach,J.W. Metsos
Transportation Models,,Fortran Simulation of an Oil Tanker Fleet,1968,Lowell C. Jerpe
Computer System Models,,The Effects of Program Segmentation on Job Completion Times in a Multiprocessor Computing System,1968,Richard K. Dumas
Computer System Models,,A Monte Carlo Process for Determining Response Times for Tactical Systems,1968,Leroy C. Sanders
Computer System Models,,Uses of Simulation in the Design of Large Scale Information Systems,1968,J.M. Jenkins,R.G. Maher
Computer System Models,,The Use of Simulation in the Design of Information Systems,1968,A.L. Frank
Computer System Models,,On-Line System Simulation,1968,R.J. Ceci,G.W. Dangel
Computer System Models,,Approximations for Simulation Run-Time Reduction,1968,G.M. Herman
Manufacturing Applications I,,Manufacturing Lead Time Determination by GPSS Simulation,1968,Manohar L. Athavale
Manufacturing Applications I,,A Generalized Methodology for Computer Simulation of Numerically Controlled Production Systems,1968,Gastone Chingari
Manufacturing Applications I,,Inspection Department Manpower Planning Using Simulation Models,1968,John Quackenbush
Manufacturing Applications I,,Estimation of Manpower Forecast Variation by GPSS,1968,Philip Hicks
Reliability and Maintainability Models,,Iterative Computer Simulation as an Aid to System Design and Cost Effectiveness Analysis,1968,Jerry L. Hooley
Reliability and Maintainability Models,,Evaluation of On-Board In-Flight Checkout on Military Aircraft,1968,J.L. Johnson
Reliability and Maintainability Models,,Simulating the Operation of a Logistics System,1968,P. Dulchinos,J. Hill
Manufacturing Applications II,,Simulation Key Unlocks Problems of Reducing In-Process Inventory and Improving Manufacturing Flow,1968,W. Daniel Nilsson,Paul R. Becker
Manufacturing Applications II,,Simulation of a Multi-Stage Manufacturing Process,1968,Donald E. Pearson
Manufacturing Applications II,,CORSIM - A Dynamic Assembly Line Simulation,1968,R.C. Pasternak
Graphics and GPSS Modifications,,GAPSS (Graphical Analysis Procedures for System Simulation),1968,Thomas E. Bell
Graphics and GPSS Modifications,,"GPSS/360 - NORDEN, a Partial Conversational GPSS",1968,Sherman Hunter,Julian Reitman
Graphics and GPSS Modifications,,Graphic Simulation with GPSS,1968,M.E. Stephenson
Graphics and GPSS Modifications,,GPSS Extended Capabilities and Modifications,1968,J.W. Walton,L.W. Terry
Simulation of Human Behavior,,Two Models of Innovation Diffusion,1968,T.W. Carroll,Gerhard J. Hanneman
Simulation of Human Behavior,,Computer Simulation of Concept Learning by Individuals in a Minimum Social Situation,1968,Roger C. Joyner
Simulation of Human Behavior,,The Simulation of Human Systems,1968,Ira E. Robinson,David F. Foster
Simulation of Human Behavior,,Computer Learning Through Association,1968,Robert W. Snelsire,Robert P. Roesser
Simulation of Human Behavior,,A Model of Bureaucratic Growth Using GPSS,1968,W.D. Rowe
Distribution Systems,,Distribution of Cryogenic Liquids in a Multi-Plant System,1968,John C. Loose
Distribution Systems,,Experiments on an Adaptive Computer Model of a Distribution Channel,1968,Martin Pfaff
Distribution Systems,,Generalized GPSS Model for Grain Terminal Elevators,1968,J.E. Peterson
Communication Systems,,Application of GPSS to the Simulation of Telephone Systems,1968,R. Bernard,Ch. Grandjean
Communication Systems,,Communication Network Design Using Message Flow Simulation,1968,David L. Bussard
Communication Systems,,The Minuteman Communication Network Simulator,1968,W.V. Neisius,E.D. Katz
Urban Systems,,Simulation of a Rapid-Exit Industrial Parking Structure,1968,Edward R. Broad Jr.
Urban Systems,,Simulation Study of a Series of Synchronized Intersections,1968,P. Le Bourgeois
Urban Systems,,A Simulation Model of New York City Police Department's Response System,1968,Julius Surkis, Gilbet R. Gordon,Norbert Hauser
